first_name,male_count,female_count
Carlyn,7,21
Carlyne,0,6
Carma,0,28
Carmaleta,0,5
Carman,24,7
Carmel,36,153
Carmela,0,578
Carmelia,0,9
Carmelina,0,29
Carmeline,0,7
Carmelita,0,70
Carmelite,0,6
Carmella,0,514
Carmelle,0,6
Carmello,16,5
Carmelo,85,0
Carmen,344,942
Carmie,6,9
Carmin,10,0
Carmina,0,7
Carmine,217,9
Carmino,10,0
Carmon,31,15
Carnation,0,6
Carnelia,0,9
Carnell,26,16
Carnes,5,0
Carney,5,0
Carnie,12,0
Caro,0,7
Carol,132,2094
Carola,0,5
Carole,0,204
Carolee,0,17
Caroleen,0,6
Carolene,0,8
Carolin,0,6
Carolina,5,144
Caroline,0,1302
Caroll,9,5
Carolle,0,8
Carolyn,5,2222
Carolyne,0,37
Carolynn,0,13
Carr,6,0
Carra,0,9
Carrel,16,0
Carrell,9,0
Carrie,14,2051
Carrine,0,7
Carris,5,0
Carrol,147,44
Carroll,669,58
Carry,6,13
Carson,132,0
Carsten,5,0
Carter,112,0
Carthel,10,0
Carthell,5,0
Carvel,16,0
Carver,6,0
Carvin,6,0
Cary,59,16
Caryl,7,81
Casey,45,0
Cash,6,0
Casimer,47,0
Casimera,0,5
Casimir,163,0
Casimira,0,20
Casimiro,16,0
Casmer,7,0
Casmere,6,0
Casmir,6,0
Casmira,0,6
Casper,88,0
Cass,9,0
Cassandra,0,6
Cassel,5,0
Cassell,5,0
Cassie,10,157
Cassius,9,0
Castella,0,8
Castulo,9,0
Caswell,6,0
Cataldo,6,0
Catalina,0,102
Catarina,0,29
Catarino,31,0
Catha,0,5
Cathaleen,0,7
Catharine,0,166
Catheline,0,5
Catherene,0,9
Catherin,0,13
Catherina,0,7
Catherine,28,8363
Catherline,0,5
Cathern,0,15
Catheryn,0,18
Catheryne,0,10
Cathleen,0,73
Cathren,0,6
Cathrine,0,88
Cathryn,0,135
Cathryne,0,9
Cathy,0,13
Cattie,0,5
Cayetano,12,0
Ceasar,12,0
Ceaser,9,0
Cebert,7,0
Cecelia,0,742
Cecil,2299,174
Cecila,0,11
Cecile,7,422
Cecilia,0,768
Cecilie,0,8
Cecilio,20,0
Cecille,0,19
Cecily,0,14
Ceclia,0,5
Cedella,0,5
Cedric,42,0
Ceferino,5,0
Ceil,0,12
Celena,0,5
Celest,0,7
Celesta,0,33
Celeste,0,135
Celester,0,9
Celestia,0,12
